Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
1.3864594,-0.0106,22.3194,11.89,-0.0106
1.4309898,-0.0106,22.3194,11.89,-0.0106
1.4758019,-0.0107,22.3194,11.89,-0.0107
1.5206283,-0.0105,23.313,11.89,-0.0105
1.5660139,-0.0107,23.313,11.89,-0.0107
1.6111208,-0.0106,22.3194,11.89,-0.0106
1.6550161,-0.0106,23.313,11.89,-0.0106
1.700438,-0.0107,22.3194,11.89,-0.0107
1.7456529,-0.0106,22.3194,11.89,-0.0106
1.8377468,-0.0106,23.313,11.89,-0.0106
1.8801465,-0.0108,301.521,11.89,-0.0108
1.9258182,-0.0108,303.5082,11.89,-0.0108
1.9708697,-0.0108,302.5146,11.89,-0.0108
2.016247,-0.011,301.521,16.85,-0.011
2.0610947,-0.011,301.521,15.858,-0.011
2.1055936,-0.0108,302.5146,15.858,-0.0108
2.1510158,-0.011,302.5146,22.802,-0.011
2.1951733,-0.011,302.5146,22.802,-0.011
2.2862918,-0.0102,302.5146,30.738,-0.0102
2.330281,-0.0096,303.5082,30.738,-0.0096
2.3760459,-0.0089,302.5146,30.738,-0.0089
2.4663935,-0.0087,301.521,37.682,-0.0087
2.4843539,-0.0084,302.5146,38.674,-0.0084
2.5573554,-0.0085,302.5146,38.674,-0.0085
2.5691455,-0.0084,302.5146,45.618,-0.0084
2.600383,-0.0083,302.5146,45.618,-0.0083
2.6458348,-0.0084,301.521,45.618,-0.0084
2.7359749,-0.0085,302.5146,52.562,-0.0085
2.780253,-0.0082,302.5146,52.562,-0.0082
2.825746,-0.0083,302.5146,52.562,-0.0083
2.8712979,-0.0083,301.521,60.498,-0.0083
2.9158707,-0.0081,301.521,60.498,-0.0081
2.9618883,-0.008,302.5146,60.498,-0.008
3.0055149,-0.0082,301.521,69.426,-0.0082
3.0508138,-0.0081,302.5146,69.426,-0.0081
3.099056,-0.0081,301.521,76.37,-0.0081
3.1862619,-0.0079,302.5146,76.37,-0.0079
3.2307531,-0.008,302.5146,75.378,-0.008
3.2754619,-0.0081,302.5146,84.306,-0.0081
3.3207244,-0.0077,302.5146,83.314,-0.0077
3.3664844,-0.0079,302.5146,83.314,-0.0079
3.410338,-0.0078,302.5146,91.25,-0.0078
3.4554945,-0.0078,301.521,90.258,-0.0078
3.5005779,-0.0077,302.5146,98.194,-0.0077
3.5910846,-0.0077,302.5146,99.186,-0.0077
3.6358073,-0.0077,302.5146,99.186,-0.0077
3.6805387,-0.0078,302.5146,106.13,-0.0078
3.7255112,-0.0077,301.521,105.138,-0.0077
3.8170078,-0.0076,301.521,106.13,-0.0076
3.8353323,-0.0077,302.5146,114.066,-0.0077
3.8608427,-0.0075,302.5146,113.074,-0.0075
3.9057347,-0.0075,301.521,113.074,-0.0075
3.9503897,-0.0074,302.5146,121.01,-0.0074
3.9957044,-0.0074,302.5146,122.002,-0.0074
4.086214,-0.0073,302.5146,129.938,-0.0073
4.1302773,-0.0073,302.5146,128.946,-0.0073
4.1756787,-0.0073,302.5146,128.946,-0.0073
4.2201934,-0.0073,301.521,136.882,-0.0073
4.2656196,-0.0072,301.521,137.874,-0.0072
4.3113374,-0.0071,302.5146,137.874,-0.0071
4.3558291,-0.0072,302.5146,143.826,-0.0072
4.4001986,-0.007,303.5082,144.818,-0.007
4.4908476,-0.007,303.5082,151.762,-0.007
4.5353354,-0.007,302.5146,152.754,-0.007
4.5809609,-0.007,302.5146,152.754,-0.007
4.6258754,-0.0069,302.5146,158.706,-0.0069
4.6711744,-0.0067,302.5146,158.706,-0.0067
4.7166077,-0.0067,302.5146,159.698,-0.0067
4.7606892,-0.0067,302.5146,166.642,-0.0067
4.8055941,-0.0067,302.5146,166.642,-0.0067
4.8507575,-0.0065,303.5082,174.578,-0.0065
4.8954378,-0.0065,302.5146,174.578,-0.0065
4.9875642,-0.0065,302.5146,173.586,-0.0065
5.0302604,-0.0064,302.5146,181.522,-0.0064
5.0763609,-0.0062,301.521,182.514,-0.0062
5.1205683,-0.0062,301.521,182.514,-0.0062
5.1650666,-0.0063,303.5082,190.45,-0.0063
5.2105254,-0.0061,301.521,189.458,-0.0061
5.2559312,-0.0062,301.521,189.458,-0.0062
5.3001962,-0.0061,302.5146,197.394,-0.0061
5.345163,-0.0058,302.5146,197.394,-0.0058
5.4365662,-0.0058,302.5146,204.338,-0.0058
5.4810327,-0.0057,302.5146,204.338,-0.0057
5.5255791,-0.0057,301.521,204.338,-0.0057
5.5711434,-0.0054,303.5082,212.274,-0.0054
5.6161076,-0.0054,302.5146,213.266,-0.0054
5.7067122,-0.0054,302.5146,212.274,-0.0054
5.7505027,-0.0052,302.5146,219.218,-0.0052
5.7641692,-0.0051,301.521,219.218,-0.0051
5.8412605,-0.005,302.5146,226.162,-0.005
5.8861675,-0.0047,302.5146,228.146,-0.0047
5.9306077,-0.0048,303.5082,227.154,-0.0048
5.9755239,-0.0045,301.521,236.082,-0.0045
6.020355,-0.0044,302.5146,235.09,-0.0044
6.0656055,-0.0044,301.521,236.082,-0.0044
6.1109276,-0.0042,302.5146,243.026,-0.0042
6.1557338,-0.0041,302.5146,243.026,-0.0041
6.201306,-0.0037,301.521,249.97,-0.0037
6.245375,-0.0035,301.521,249.97,-0.0035
6.3379356,-0.0036,301.521,249.97,-0.0036
6.3806718,-0.0032,302.5146,256.914,-0.0032
6.4252233,-0.0032,301.521,257.906,-0.0032
6.4707965,-0.0031,302.5146,257.906,-0.0031
6.5151838,-0.0029,301.521,265.842,-0.0029
6.5606466,-0.0026,302.5146,265.842,-0.0026
6.6058853,-0.0026,301.521,265.842,-0.0026
6.6508506,-0.0023,302.5146,272.786,-0.0023
6.6954042,-0.002,303.5082,272.786,-0.002
6.7861333,-0.0016,302.5146,279.73,-0.0016
6.830686,-0.0013,302.5146,281.714,-0.0013
6.8758933,-0.0014,303.5082,281.714,-0.0014
6.9210791,-0.001,302.5146,287.666,-0.001
6.9652339,-0.0008,302.5146,288.658,-0.0008
7.0107593,-0.0007,301.521,287.666,-0.0007
7.0553898,-0.0003,302.5146,295.602,-0.0003
7.1004608,0,302.5146,295.602,0
7.1909585,0.0003,302.5146,302.546,0.0003
7.2358798,0.0007,301.521,302.546,0.0007
7.28031,0.0007,302.5146,303.538,0.0007
7.3249802,0.0012,302.5146,310.482,0.0012
7.3700394,0.0015,302.5146,310.482,0.0015
7.4166861,0.0016,302.5146,310.482,0.0016
7.4609932,0.002,303.5082,319.41,0.002
7.5060453,0.0023,302.5146,319.41,0.0023
7.5508365,0.0029,303.5082,326.354,0.0029
7.6411897,0.0033,303.5082,326.354,0.0033
7.6855191,0.0033,302.5146,324.37,0.0033
7.730022,0.004,302.5146,334.29,0.004
7.7750992,0.0044,302.5146,334.29,0.0044
7.8205793,0.0044,303.5082,333.298,0.0044
7.8651911,0.005,302.5146,340.242,0.005
7.9102143,0.0054,302.5146,341.234,0.0054
7.9553866,0.0054,301.521,341.234,0.0054
8.0006607,0.0062,302.5146,349.17,0.0062
8.0458487,0.0066,303.5082,349.17,0.0066
8.135613,0.0073,301.521,357.106,0.0073
8.1802846,0.0078,302.5146,357.106,0.0078
8.2261543,0.0078,302.5146,357.106,0.0078
8.2706437,0.0086,302.5146,364.05,0.0086
8.3157046,0.0091,303.5082,365.042,0.0091
8.3605753,0.0091,303.5082,364.05,0.0091
8.4051798,0.01,302.5146,371.986,0.01
8.4501758,0.0104,301.521,371.986,0.0104
8.542488,0.0114,302.5146,379.922,0.0114
8.585792,0.0121,303.5082,378.93,0.0121
8.6307623,0.0121,302.5146,379.922,0.0121
8.6757045,0.0122,302.5146,379.922,0.0122
8.7211149,0.013,303.5082,386.866,0.013
8.7659174,0.0134,302.5146,385.874,0.0134
8.8113299,0.0136,302.5146,386.866,0.0136
8.8553663,0.0145,303.5082,393.81,0.0145
8.9006533,0.0152,302.5146,394.802,0.0152
8.9914451,0.0161,302.5146,402.738,0.0161
9.0353864,0.0168,303.5082,402.738,0.0168
9.0804218,0.017,302.5146,402.738,0.017
9.1256635,0.018,303.5082,410.674,0.018
9.170216,0.0186,302.5146,410.674,0.0186
9.2154141,0.0187,302.5146,409.682,0.0187
9.2600662,0.0197,302.5146,417.618,0.0197
9.3054452,0.0205,302.5146,417.618,0.0205
9.3507608,0.0216,302.5146,424.562,0.0216
9.3960663,0.0223,303.5082,424.562,0.0223
9.5306853,0.0224,302.5146,425.554,0.0224
9.5460812,0.0236,302.5146,433.49,0.0236
9.5758058,0.0243,302.5146,433.49,0.0243
9.620709,0.0244,302.5146,432.498,0.0244
9.6656532,0.0255,302.5146,440.434,0.0255
9.7102023,0.0264,301.521,440.434,0.0264
9.7558375,0.0264,302.5146,440.434,0.0264
9.8005271,0.0276,302.5146,447.378,0.0276
9.8451699,0.0284,302.5146,447.378,0.0284
9.9363024,0.0296,302.5146,455.314,0.0296
9.9807689,0.0304,302.5146,456.306,0.0304
10.0260135,0.0304,303.5082,456.306,0.0304
10.0701363,0.0318,303.5082,464.242,0.0318
10.1152444,0.0325,302.5146,463.25,0.0325
10.1607334,0.0326,303.5082,464.242,0.0326
10.2052604,0.034,303.5082,470.194,0.034
10.251007,0.0347,303.5082,470.194,0.0347
10.3414269,0.0359,302.5146,479.122,0.0359
10.3852813,0.0367,303.5082,478.13,0.0367
10.4303525,0.0368,303.5082,477.138,0.0368
10.4750771,0.0381,302.5146,487.058,0.0381
10.5208474,0.039,303.5082,487.058,0.039
10.5664422,0.0414,303.5082,486.066,0.0414
10.6111472,0.0424,303.5082,494.002,0.0424
10.6555383,0.0433,304.5018,494.002,0.0433
10.7012089,0.0443,304.5018,501.938,0.0443
10.7455038,0.0451,304.5018,499.954,0.0451
10.881784,0.045,304.5018,500.946,0.045
10.89989,0.046,304.5018,507.89,0.046
10.92513,0.0467,303.5082,508.882,0.0467
10.9707946,0.0466,304.5018,508.882,0.0466
11.0151525,0.0475,304.5018,515.826,0.0475
11.0610255,0.0482,304.5018,516.818,0.0482
11.1056256,0.0479,304.5018,516.818,0.0479
11.1505935,0.049,303.5082,524.754,0.049
11.1956654,0.0497,303.5082,523.762,0.0497
11.2866817,0.0507,304.5018,531.698,0.0507
11.3305405,0.0512,304.5018,530.706,0.0512
11.3755961,0.0508,303.5082,530.706,0.0508
11.4202053,0.0517,303.5082,539.634,0.0517
11.465726,0.0523,303.5082,539.634,0.0523
11.5106178,0.0519,303.5082,537.65,0.0519
11.5556001,0.0516,304.5018,538.642,0.0516
11.6011449,0.0524,302.5146,546.578,0.0524
11.6455206,0.0529,303.5082,545.586,0.0529
11.7359734,0.0536,304.5018,554.514,0.0536
11.7804219,0.054,304.5018,554.514,0.054
11.825592,0.0536,304.5018,555.506,0.0536
11.8704412,0.0543,303.5082,562.45,0.0543
11.9160141,0.0547,303.5082,560.466,0.0547
11.9609666,0.0541,304.5018,563.442,0.0541
12.005425,0.0548,304.5018,569.394,0.0548
12.0504576,0.0551,303.5082,569.394,0.0551
12.1415335,0.0555,303.5082,577.33,0.0555
12.1852919,0.0558,304.5018,578.322,0.0558
12.2309341,0.0551,304.5018,578.322,0.0551
12.2758946,0.0555,304.5018,585.266,0.0555
12.3215762,0.0557,304.5018,585.266,0.0557
12.3658429,0.0549,303.5082,585.266,0.0549
12.410589,0.0552,303.5082,592.21,0.0552
12.4557971,0.0553,304.5018,593.202,0.0553
12.5011778,0.0553,303.5082,600.146,0.0553
12.5454972,0.0553,303.5082,599.154,0.0553
12.6375732,0.0545,302.5146,600.146,0.0545
